101,Saayim,S,5500,5501437917056910,575
103,Mudit,C,6500,5501437916790501,753
105,Saqheeb,S,6700,5501437917068832,583
108,Nachiket,S,7500,5501437917016302,385
107,Nachiket,S,7500,5501437917016302,785
106,Nachiket,S,7500,5501437917016302,347
109,Suresh,S,6800,5501437916986158,827
110,Vimala,C,4800,5501437917003888,908
102,Aditya,C,6500,5501437917006600,190
111,Kamlesh,C,4200,5501437916837302,397
115,Farhan,S,8500,5501437916871509,154
121,Steve,S,6000,5501437916858654,854
125,Akshay,S,6000,5501437916800516,540
130,Mudit,S,6000,5501437917086115,247
137,Rohit Sharma,S,2500,5501437916867267,178
167,Khalandar,S,5000,5501437916883629,746
